epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.795,1.41842,2.54542,1.50584,0.25487,0.26916,0.21639,0.12188,1.536,2.16223,1.66371,0.000332606,0.000332606,0.000332606
2,208.384,1.44994,2.0256,1.53433,0.29792,0.26142,0.20283,0.10877,1.59222,2.60526,1.67924,0.000654951,0.000654951,0.000654951
3,307.298,1.45446,1.92748,1.54496,0.32248,0.2658,0.21462,0.11937,1.58123,2.1877,1.71572,0.000966296,0.000966296,0.000966296
4,407.21,1.4475,1.84181,1.53464,0.33463,0.30731,0.28603,0.16522,1.5372,1.80611,1.6328,0.0009505,0.0009505,0.0009505
5,505.945,1.41306,1.77455,1.51102,0.42792,0.27181,0.2908,0.17768,1.48818,1.84223,1.59625,0.000934,0.000934,0.000934
6,605.015,1.38662,1.72751,1.50054,0.37757,0.33962,0.29653,0.17834,1.43722,1.90232,1.58118,0.0009175,0.0009175,0.0009175
7,704.19,1.38179,1.68619,1.4913,0.41649,0.3258,0.33037,0.20262,1.41649,1.60626,1.53244,0.000901,0.000901,0.000901
8,803.058,1.36654,1.63261,1.48609,0.44088,0.33693,0.35094,0.21976,1.37903,1.59583,1.51233,0.0008845,0.0008845,0.0008845
9,901.635,1.34901,1.59295,1.47107,0.46536,0.33593,0.36681,0.23298,1.37956,1.54524,1.49526,0.000868,0.000868,0.000868
10,1000.49,1.33711,1.55748,1.45857,0.45241,0.35268,0.36539,0.23091,1.37186,1.48466,1.48865,0.0008515,0.0008515,0.0008515
11,1099.07,1.31489,1.51599,1.44698,0.39753,0.34477,0.34103,0.21715,1.37015,1.61861,1.48532,0.000835,0.000835,0.000835
12,1198.26,1.31599,1.50634,1.44789,0.44898,0.36106,0.39138,0.25033,1.34512,1.45961,1.48795,0.0008185,0.0008185,0.0008185
13,1296.86,1.3024,1.46348,1.436,0.49195,0.39118,0.40142,0.25324,1.32267,1.39107,1.45332,0.000802,0.000802,0.000802
14,1395.75,1.31379,1.45235,1.43416,0.50646,0.39314,0.42016,0.27195,1.29791,1.32212,1.43763,0.0007855,0.0007855,0.0007855
15,1494.16,1.29622,1.43752,1.4274,0.46585,0.36661,0.38048,0.2487,1.33837,1.45299,1.47033,0.000769,0.000769,0.000769
16,1593.1,1.30668,1.42375,1.4273,0.50281,0.38937,0.41966,0.2683,1.31207,1.40294,1.45648,0.0007525,0.0007525,0.0007525
17,1691.42,1.27864,1.39819,1.41778,0.50005,0.39071,0.42934,0.28177,1.29664,1.32205,1.41044,0.000736,0.000736,0.000736
18,1789.64,1.28137,1.36994,1.41664,0.47631,0.38578,0.40274,0.26287,1.29954,1.38054,1.44182,0.0007195,0.0007195,0.0007195
19,1887.74,1.25909,1.36168,1.40998,0.52851,0.37804,0.43645,0.28613,1.30523,1.34321,1.45181,0.000703,0.000703,0.000703
20,1986.07,1.25159,1.34268,1.40155,0.51259,0.38946,0.43598,0.28249,1.29453,1.29168,1.43017,0.0006865,0.0006865,0.0006865
21,2084.4,1.24828,1.33456,1.39601,0.50908,0.40785,0.42843,0.28101,1.27812,1.32212,1.42685,0.00067,0.00067,0.00067
22,2182.85,1.24392,1.29509,1.3894,0.51952,0.40733,0.44659,0.29801,1.24274,1.2571,1.39112,0.0006535,0.0006535,0.0006535
23,2281.14,1.24231,1.30164,1.38893,0.53426,0.40806,0.45271,0.30084,1.25983,1.25616,1.39635,0.000637,0.000637,0.000637
24,2380.01,1.24337,1.29092,1.38577,0.50484,0.42346,0.45649,0.30521,1.2461,1.21597,1.38559,0.0006205,0.0006205,0.0006205
